,ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural (Residence),Urban (Residence),Poorest (Wealth quintile),Richest (Wealth quintile)
1,AGOA,Angola,SSA,ESA,Lower middle income (LM),24,2,33,0,69
2,ARG,Argentina,LAC,LAC,Upper middle income (UM),45,0,0,0,0
3,ARM,Armenia,ECA,EECA,Upper middle income (UM),85,78,91,54,100
4,BGD,Bangladesh,SA,SA,Lower middle income (LM),42,38,57,13,79
5,BRB,Barbados,LAC,LAC,High income (H),76,76,76,4,100
6,BEN,Benin,SSA,WCA,Low income (L),5,2,10,0,21
7,BIH,Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),70,65,81,13,98
8,BRA,Brazil,LAC,LAC,Upper middle income (UM),84,55,90,84,96
9,BGR,Bulgaria,ECA,EECA,Upper middle income (UM),83,83,83,52,94
10,BFA,Burkina Faso,SSA,WCA,Low income (L),2,0,5,0,6
11,CMR,Cameroon,SSA,WCA,Lower middle income (LM),7,0,12,0,28
12,CAF,Central African Republic,SSA,WCA,Low income (L),6,1,12,0,19
13,TCD,Chad,SSA,WCA,Low income (L),3,1,12,0,12
14,CHL,Chile,LAC,LAC,High income (H),87,72,90,75,98
15,CHN,China,EAP,EAP,Upper middle income (UM),76,58,91,0,92
16,COL,Colombia,LAC,LAC,Upper middle income (UM),43,7,54,2,99
17,CRI,Costa Rica,LAC,LAC,Upper middle income (UM),77,60,86,46,100
18,CIV,C™te d'Ivoire,SSA,WCA,Lower middle income (LM),3,2,5,0,12
19,CUB,Cuba,LAC,LAC,Upper middle income (UM),4,1,5,13,0
20,COD,Democratic Republic of the Congo,SSA,WCA,Low income (L),1,0,3,0,3
21,DJI,Djibouti,SSA,ESA,Lower middle income (LM),9,2,16,2,40
22,DOM,Dominican Republic,LAC,LAC,Upper middle income (UM),27,11,32,0,80
23,GMB,Gambia,SSA,WCA,Low income (L),72,51,80,29,94
24,GEO,Georgia,ECA,EECA,Upper middle income (UM),88,75,96,55,100
25,GHA,Ghana,SSA,WCA,Lower middle income (LM),20,13,28,3,52
26,GTM,Guatemala,LAC,LAC,Upper middle income (UM),12,4,24,0,52
27,GNB,Guinea-Bissau,SSA,WCA,Low income (L),3,2,4,0,4
28,HTI,Haiti,LAC,LAC,Low income (L),26,15,41,0,64
29,IND,India,SA,SA,Lower middle income (LM),12,7,21,1,42
30,IDN,Indonesia,EAP,EAP,Lower middle income (LM),23,13,30,8,48
31,IRQ,Iraq,MENA,MENA,Upper middle income (UM),56,43,62,15,86
32,ITA,Italy,ECA,,High income (H),75,0,0,0,0
33,JPN,Japan,EAP,EAP,High income (H),88,88,87,55,94
34,JOR,Jordan,MENA,MENA,Upper middle income (UM),42,41,42,25,73
35,KEN,Kenya,SSA,ESA,Lower middle income (LM),39,0,29,0,0
36,KIR,Kiribati,EAP,EAP,Lower middle income (LM),59,36,77,17,90
37,KGZ,Kyrgyzstan,ECA,EECA,Lower middle income (LM),77,72,86,60,93
38,LAO,Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),2,1,4,0,5
39,LSO,Lesotho,SSA,ESA,Lower middle income (LM),38,29,56,8,74
40,MDG,Madagascar,SSA,ESA,Low income (L),16,10,35,0,54
41,MDV,Maldives,SA,SA,Upper middle income (UM),73,70,77,56,96
42,MLI,Mali,SSA,WCA,Low income (L),8,4,17,0,27
43,MRT,Mauritania,SSA,WCA,Lower middle income (LM),4,1,7,0,13
44,MNG,Mongolia,EAP,EAP,Lower middle income (LM),38,10,51,1,95
45,MNE,Montenegro,ECA,EECA,Upper middle income (UM),82,76,85,52,100
46,MAR,Morocco,MENA,MENA,Lower middle income (LM),19,12,25,0,0
47,NAM,Namibia,SSA,ESA,Upper middle income (UM),9,1,17,0,34
48,NPL,Nepal,SA,SA,Low income (L),49,34,57,18,90
49,NIC,Nicaragua,LAC,LAC,Lower middle income (LM),4,0,0,0,0
50,NER,Niger,SSA,WCA,Low income (L),6,0,0,0,0
51,NGA,Nigeria,SSA,WCA,Lower middle income (LM),4,0,0,0,0
52,PAK,Pakistan,SA,SA,Lower middle income (LM),10,4,22,0,49
53,PAN,Panama,LAC,LAC,High income (H),38,15,51,8,97
54,RUS,Russian Federation,ECA,EECA,Upper middle income (UM),90,77,96,90,100
55,LCA,Saint Lucia,LAC,LAC,Upper middle income (UM),51,53,43,7,0
56,STP,Sao Tome and Principe,SSA,WCA,Lower middle income (LM),46,37,51,25,70
57,SEN,Senegal,SSA,WCA,Lower middle income (LM),7,3,12,1,23
