,ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural (Residence),Urban (Residence),Poorest (Wealth quintile),Richest (Wealth quintile)
1,DZA,Algeria,MENA,MENA,Upper middle income (UM),24,9,32,1,77
2,AGO,Angola,SSA,ESA,Lower middle income (LM),17,2,24,0,62
3,ARG,Argentina,LAC,LAC,Upper middle income (UM),40,0,0,0,0
4,ARM,Armenia,ECA,EECA,Upper middle income (UM),81,71,88,47,99
5,BGD,Bangladesh,SA,SA,Lower middle income (LM),37,33,52,9,76
6,BRB,Barbados,LAC,LAC,High income (H),66,61,69,10,98
7,BEN,Benin,SSA,WCA,Low income (L),4,1,7,0,16
8,BOL,Bolivia (Plurinational State of),LAC,LAC,Lower middle income (LM),12,4,17,0,0
9,BIH,Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),59,51,76,8,96
10,BRA,Brazil,LAC,LAC,Upper middle income (UM),83,51,89,84,97
11,BGR,Bulgaria,ECA,EECA,Upper middle income (UM),76,66,81,35,97
12,BFA,Burkina Faso,SSA,WCA,Low income (L),1,1,4,1,5
13,CMR,Cameroon,SSA,WCA,Lower middle income (LM),5,0,10,0,24
14,CAF,Central African Republic,SSA,WCA,Low income (L),4,1,9,0,16
15,TCD,Chad,SSA,WCA,Low income (L),2,1,8,0,9
16,CHL,Chile,LAC,LAC,High income (H),86,70,89,73,99
17,CHN,China,EAP,EAP,Upper middle income (UM),57,50,91,0,90
18,COL,Colombia,LAC,LAC,Upper middle income (UM),36,5,48,1,98
19,CRI,Costa Rica,LAC,LAC,Upper middle income (UM),72,61,78,46,99
20,CIV,C™te d'Ivoire,SSA,WCA,Lower middle income (LM),3,1,5,0,14
21,CUB,Cuba,LAC,LAC,Upper middle income (UM),4,1,6,15,0
22,COD,Democratic Republic of the Congo,SSA,WCA,Low income (L),1,0,2,0,3
23,DJI,Djibouti,SSA,ESA,Lower middle income (LM),6,1,11,1,32
24,DOM,Dominican Republic,LAC,LAC,Upper middle income (UM),24,10,29,0,77
25,ECU,Ecuador,LAC,LAC,Upper middle income (UM),42,20,53,0,0
26,EGY,Egypt,MENA,MENA,Lower middle income (LM),17,9,29,0,0
27,GMB,Gambia,SSA,WCA,Low income (L),65,47,75,25,94
28,GEO,Georgia,ECA,EECA,Upper middle income (UM),85,72,93,51,99
29,GHA,Ghana,SSA,WCA,Lower middle income (LM),17,10,26,3,51
30,GTM,Guatemala,LAC,LAC,Upper middle income (UM),9,3,18,0,45
31,GNB,Guinea-Bissau,SSA,WCA,Low income (L),2,2,4,0,5
32,HTI,Haiti,LAC,LAC,Low income (L),21,11,36,0,65
33,IND,India,SA,SA,Lower middle income (LM),9,5,17,0,36
34,IDN,Indonesia,EAP,EAP,Lower middle income (LM),19,10,26,6,45
35,IRQ,Iraq,MENA,MENA,Upper middle income (UM),49,35,56,14,84
36,JPN,Japan,EAP,EAP,High income (H),78,83,77,62,87
37,JOR,Jordan,MENA,MENA,Upper middle income (UM),38,35,38,23,72
38,KEN,Kenya,SSA,ESA,Lower middle income (LM),32,0,24,0,0
39,KIR,Kiribati,EAP,EAP,Lower middle income (LM),51,33,69,14,87
40,KGZ,Kyrgyzstan,ECA,EECA,Lower middle income (LM),74,69,83,54,91
41,LAO,Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),2,1,4,0,5
42,LSO,Lesotho,SSA,ESA,Lower middle income (LM),32,22,52,6,70
43,MDG,Madagascar,SSA,ESA,Low income (L),11,6,27,0,47
44,MDV,Maldives,SA,SA,Upper middle income (UM),70,69,72,50,93
45,MLI,Mali,SSA,WCA,Low income (L),5,3,14,0,23
46,MRT,Mauritania,SSA,WCA,Lower middle income (LM),3,1,6,0,11
47,MEX,Mexico,LAC,LAC,Upper middle income (UM),41,11,52,0,0
48,MNG,Mongolia,EAP,EAP,Lower middle income (LM),37,13,49,2,93
49,MNE,Montenegro,ECA,EECA,Upper middle income (UM),82,74,86,49,99
50,MAR,Morocco,MENA,MENA,Lower middle income (LM),18,12,23,0,0
51,NAM,Namibia,SSA,ESA,Upper middle income (UM),7,1,15,0,34
52,NPL,Nepal,SA,SA,Low income (L),47,32,55,16,88
53,NIC,Nicaragua,LAC,LAC,Lower middle income (LM),4,0,0,0,0
54,NER,Niger,SSA,WCA,Low income (L),3,0,0,0,0
55,NGA,Nigeria,SSA,WCA,Lower middle income (LM),3,0,0,0,0
56,PAK,Pakistan,SA,SA,Lower middle income (LM),9,4,19,0,46
57,PAN,Panama,LAC,LAC,High income (H),31,10,44,4,94
58,PER,Peru,LAC,LAC,Upper middle income (UM),26,1,34,0,0
59,RUS,Russian Federation,ECA,EECA,Upper middle income (UM),89,79,94,89,100
60,LCA,Saint Lucia,LAC,LAC,Upper middle income (UM),48,48,44,12,0
